album_type;album_id;album_name;artist_id;artist_names;release_date;popularity
album;7w3OX6GpKFHnzbgsYbXYQt;Veloce;6wcT73JBleLHxOuXSURwi7;Somburd;2018-11-22;4
single;006xnklQjF5UuyagReu290;Nu Stii;46N42YdqniE8UPy3fODQRt;HVNDS;2017-03-06;3
single;00BZaOv4Nu4WZMpBPGXILg;Glamuuripidu;4n6AbdIQumGuhtRyQkk6gC;KÖÖMES;2017-05-18;1
single;00H7xdV2aOnhQ2yj6TVsRN;Qué lindo vivirlo;1Yct9fjGcg8VrAy0csHugn;Juan 23;2019-08-29;4
single;00NzCyW5t2heBWlYIFeNJt;Láss - EP;22qPbdDUR9UUG2i4cuiI1t;Roadside Rose;2020-07-21;3
single;00VSjn5bKOMLTviAel4gf6;Bravo;42APSc9etBGptl3otzihIZ;Toni Storaro;2015-06-24;2
album;00YTBOU7qj08MMgTdfafs5;My Urban Piano;5v7h8Z7j3uC7lY3qHQTgzW;David Ianni;2018-12-14;4
album;00aruse8Q6lnDDOzkiZGn5;Reserva;4BFiMjGQTvm7uO6Fci92sZ;Maryn E. Coote;2003;2
single;00cZyEXKS57cuzJ0dtxWL2;Hush (Highleef Remix);1n6KR5r29Zj7X33Ey1pod0;Angelou;2017-12-21;3
single;00fymJsCZT5wwQ0Pmu5Gwh;I'm on Fire;4KmcK0nLaY7kRqsvydMm0l;Sw1tch;2020-06-18;2
album;00gNUrYsJXRJY9wuVBRDLR;Акустична сесия, Vol. 2;2IBtQP4YeeSveimEUt9Rpe;Awakening Church;2020-08-08;1
album;00kQN4bhUTSBQpNat4uVTf;Hungarian Retro Music / Weygand Tibor;4u69MGqVgQrfkOA2SI6wGB;Weygand Tibor;2012-10-15;3
single;00uf3BDOK7kMJf74ofqp6m;Deg Man Benja;2n9lOSv4wNB1FXyrAeEFUI;Lessijs;2019-08-13;2
album;00xu3fVo4QVXtWM5ejHocZ;Sleep Ocean Waves;2CgVSpL4tfbUuHmTGS7wF3;Ocean Waves For Sleep;2016-02-28;3
album;015cTGPtrKye1a9b8SoWWW;TEN;4M9Le1a13FIrqaoTEsXEzq;Bert On Beats;2019-11-29;1
single;0163teiVctC7hsTLGauOmg;Skip;1m8S6iuRUE3AwyiFuZo6xl;AnnaElza;2020-09-15;4
single;01DUqPOw0FYEC2JtwDgTsS;Mir Loossen Et Brennen;2T72WQq5flbn4Uf162bJGG;Jim Caligo;2020-07-28;1
single;01Dymkx2NvrHvCNdaci2Xv;Get Up;78o8dklD6MtbXMXz9lQuDf;Neon Saturdays;2018-04-20;1
single;01LhCMaobQgb76J5qwjqML;Dutycall (Remix);1pjMTPMmCFWKChH0ZO72eS;Dj Senzanation;2020-10-09;4
single;01TO7NuSkoEAhqbku4lCr3;Pablo;06AhaR64KHtQFtcrb1ZMGI;Lil Trippy;2020-03-16;2
album;01YugnaVaCUgRDid0oEIyF;Amoul Tomobile (Live à Paris);1gt3FXZs5qEkfF9mFxpYe2;Daoudi;2009-07-07;4
album;01a2cydwHmaQQ0t53wJrDy;Teka Folk Music Group;3hVa5alzhKzzI2Tjbdx0vi;Teka Ensemble;2014-07-15;4
single;01f79rSWd72N3WXHMtqStx;Vilnius Full of Space;7nHG5aJdkf3R9pjE4VXQzX;Transactions;2020-08-31;4
album;01ffb3oicEcKrTDPYUzsw7;Anafielas;1StoefNhCuIt9iMdxE2SBt;Vejopatis;2015-11-18;4
single;01ig8TKXV964Ndop7FM8fs;Papapa;6INYZYfguZjQrC7wjCfZ62;Pierry;2019-03-01;3
