album_type;album_id;album_name;artist_id;artist_names;release_date;popularity
album;0w8kuceNScFrj2fDOipHEz;The Most Wonderful Time;6yb7iR9KSHvoITAvoxz3ia;Stevie Mackey;2020-11-27;61
album;3IqhrYxLImDebJ610I5OiB;The world of Beethoven;2wOqMjp9TyABvtHdOSOTUS;Ludwig van Beethoven;2020-11-30;46
single;1LdL3LQf8eMVjGbIskWEjP;Emo Nite Picks: The All-American Rejects;3vAaWhdBR38Q02ohXqaNHT;The All-American Rejects;2020-12-04;16
single;5Er6cD9ht3TCiFnwfdQqM8;Bonus Footage;6X8WdFjrNhXATMDSs26aCc;Curren$y;2020-11-27;46
album;4EpeRLsut90jWczZlASGs3;Christmas Classical;3MKCzCnpzw3TjUYs2v7vDA;Pyotr Ilyich Tchaikovsky;2020-11-28;50
single;5s9SlIpqqw2xJQRJScR0is;Paradise (Loco Dice Remix);0xRXCcSX89eobfrshSVdyu;MEDUZA;2020-11-27;44
single;4PWEI9BnNxLUXUB7xrP0le;A la Orden del Flaco;4J13m9IZh03PEhoxAxRhXO;Gerardo Ortiz;2020-12-03;42
single;2KRoRsc8dnYzmyXlSoq0qD;Paradise (Cassian Remix);0xRXCcSX89eobfrshSVdyu;MEDUZA;2020-11-27;37
single;7MWXDT9dI8CLRWyUmf0xr3;Steven Universe Future (VGR Remix);4rF7c8zpCKzuSXohs2HIpA;Steven Universe;2020-12-04;37
album;1aHVluTYhyNiMywuHDROuI;Beethoven Trios;2wOqMjp9TyABvtHdOSOTUS;Ludwig van Beethoven;2020-11-27;45
album;0pWu9s2gPdVgqHpMR2LDEx;SAWAYAMA (Deluxe Edition);2KEqzdPS7M5YwGmiuPTdr5;Rina Sawayama;2020-12-04;57
single;6Zzss0gwhwdizR2JIoSUa7;Tomorrow's Dream (2021 Remaster);5M52tdBnJaKSvOpJGz8mfZ;Black Sabbath;2020-12-02;28
album;2XVAYHrqzQPkntsfvU15LH;Kempff plays Beethoven;2wOqMjp9TyABvtHdOSOTUS;Ludwig van Beethoven;2020-11-25;40
album;6HBzDcJBcwXh0GkzKo7mSU;Classique Feel Good;2wOqMjp9TyABvtHdOSOTUS;Ludwig van Beethoven;2020-11-29;43
album;4fnsl9gH6VlQNZi2tEszDU;The Line Up;0LyfQWJT6nXafLPZqxe9Of;Various Artists;2020-11-26;58
single;4uuvbNBKdg6NrSUR4mMZaH;Home Sweet Home EP;20gsENnposVs2I4rQ5kvrf;Sam Feldt;2020-11-27;40
album;0akVLQbEVr1UE3Yy6uRKWS;Beethoven: Symphony No. 7 & Piano Concerto No. 4;2wOqMjp9TyABvtHdOSOTUS;Ludwig van Beethoven;2020-11-27;34
album;1jHWqqX0JAujjgxdSrROEZ;Beethoven: Violin Concerto;2wOqMjp9TyABvtHdOSOTUS;Ludwig van Beethoven;2020-12-02;32
album;2f1uawfQboBFLxzJOLHqC7;Beethoven Piano Sonatas, Vol. 8 - Appassionata;2wOqMjp9TyABvtHdOSOTUS;Ludwig van Beethoven;2020-11-27;33
