artist_names,album_name,count
Adham Seliman,El Shaheed,1
Monika LIU,Sometimes I Loved You Sometimes You Loved Me,1
Māris Šverns,Sinhronais tulkojums,1
Koral Hatzbani,מה עבר עליי,1
Wolfgang Amadeus Mozart,Mozart: Orchestral Works (Live),1
Ludwig van Beethoven,Beethoven: Piano Concertos Nos. 1 & 4,1
Jef Martens,Her Castle Is Magnificent,1
Little Baby Bum Nursery Rhyme Friends,Fairy Tale Song,1
Leonard Bernstein,Relaxed Holidays,1
Franz Liszt,"Complete Piano Music, Vol. 56: Liszt – Préludes et harmonies poétiques et religieuses",1
Kenny Wayne Shepherd,Zat You Santa Claus,1
TheHxliday,Thank U,1
Flughand,Mind,1
KATIE,Our Time is Blue,1
Diego Torres,Tratar de Estar Mejor (feat. Jiggy Drama) [Sinfónico],1
Dmitri Shostakovich,"Shostakovich: \"Allegretto\" from Cello Concerto No. 2 in G Minor, Op. 126",1
Weather and Nature Recordings,! ! Climate ! !,1
John De Sohn,Dance Forever,1
Ocean Waves For Sleep,Sleep Ocean Waves,1
Ieva Karevica un Igo,Meitenes vel pasakam tic,1
"Vokālā Studija \"Miljons\"",Skaiti Līdz Miljons,1
Bet Bet,"Ticot, Mīlot Un Gaidot",1
Besh,Hadi El Nour,1
Duets Sandra,Mazcenas Mobīlais,1
Swisher,Roséa,1
Leon Lee,Umuntu (Gospel Piano Mix),1
Rotiküla Kõutsid,Langevad Tähed,1
Yagel,חזרתי לחייך,1
Siiri Sisask,11,1
Odett,Túl jó,1
La Fortaleza Real,Esta Noche,1
Avenue Beat,F2020 (LLusion Remix),1
Philip Glass,Philip Glass: Piano Sonata,1
Hot Chip,Straight To The Morning (Dillon Francis vs. Hot Chip Remix),1
Divide Music,"Psycho (Inspired by \"Mob Psycho 100\")",1
T9ine,Go Harder,1
Kenny Wayne Shepherd,Cool Yule,1
Two Another,Two Sides,1
Jae Stephens,Already On It (feat. VanJess),1
Sonora Palacio,La Noche de los Amigos,1
Kotenceto,Ltd,1
Kao,Miafa,1
Various Artists,Šlāgerputenis 03,1
DXN,Bah,1
Wine Bar Jazz,Soundscape for Healthy Restaurants,1
Coral,Si Tous les Oiseaux,2
Tzaguy Boy,Talk About Us,1
Age Of Stones,Sāls un pipari,1
Mick Moon,Elu Läheb Edasi,1
Labrinth,Ave Maria,1
Johann Sebastian Bach,Baroque Feel Good,1
El Alfa,Mi Bom Bom,1
Tony Loya,En el camino,1
Absofacto,Someone Else’s Dream (Acoustic) [with Chaos Canine],2
TisaKorean,Wasteland.,1
Keith & Kristyn Getty,Irish Christmas Festival,1
Joy Oladokun,mighty die young,1
WHIPPED CREAM,I Won't Let You Fall (feat. Finn Askew) [Remixes],1
Cimorelli,Jingle Bells (Acapella),1
Klaudia Schuster,Songs For My Veggies,1
Есил Дюран,Искам само теб,1
Cool D,Üksi kodus,1
Rózsaszín Pittbull,Rózsaszín Álom,1
Various Artists,Underdog Day & Night,1
Catafalc,Pain Performance,1
Porn Queen,Porn Queen,1
Bankrupt,Politikus/Gengszter,1
Charlotte,La vie la nuit,1
INGER,Notice You,1
Mecks,10 millió,1
Goodslav,Вятъра Сърдит - Single,1
Amber,Tifkiriet,1
Barabi Blues Band,Бесните Кучета на Блуса,1
Emrah,Истинное зло,1
Веселин Маринов,Лятна жълта рокля,1
סטנגה,מה שבא לאט הולך מהר,1
Artjom Savitski,Lõputu,1
Rendhagyó Prímástalálkozó,"Rendhagyó Prímástalálkozó, Vol. 2",1
Jenni Rivera,La Gran Señora (En Vivo),1
Young Franco,Fallin' Apart,1
Little Baby Bum Nursery Rhyme Friends,The Sun in the Sky is Round and Yellow,1
Ñejo,Mi Viejo,1
Imaginary Future,Right Down the Line,1
LO-FI BEATS,Bouncing,1
Anoyd,Orangutan,1
Scary Pockets,Give Me One Reason,1
Eleonora,With You,1
Aviva Avidan,רק איתך,1
Krisia Todorova,Vitamin,1
Janicsák Veca,Könnyek az esőben,1
Bigmek,Maradok A Régi,1
Borowa MC,Trepis Iz Nakurīni,2
7l2olo,توينكيز محشي بفانيليا,1
Jayjezz,Solo a Dois,1
Hadas Kleinman,פעם אחת,1
Fox Lima,Fei Mea,1
Half Easy Trio,Dark is Bright,1
Madara Dzintara,Lietus,1
Duncan Laurence,Small Town Boy,1
Nathan Dawe,No Time For Tears,1
BlueHunnidss,For Me,1
Scott Bradlee's Postmodern Jukebox,OK Crooner,1
El Chulo,No Creo en Nadie,1
Essenger,Nightcall (feat. NINA),1
HVNDS,Nu Stii,1
Aurum Miles,Mental State,1
Monsum,Black Moments,1
Bushidogs,DRAGON BALL BD (GOGETA),1
Vizion X,Feelings,1
INGAJA,BLINK OF AN EYE,1
Marco Uccellini,"Marco Uccellini - Sonate, correnti e arie dall'opera quarta",1
Светла Иванова,Ces't La Vie,1
Mantvydas Leonas Pranulis,Liar Who Fell in Love With Truth,1
Kaari Sillamaa Muusikateater,Puujala ja Ükssilma Sõda,1
Laura Bicāne,Ikdiena,1
Chronic Crew,"Fracture (From the Midtown Clip as Featured on the TV Show \"RightThisMinute\")",1
Johann Sebastian Bach,Christmas with Bach,1
SG Lewis,Feed The Fire (A-Trak & The Brothers Macklovitch Remix),1
Little Baby Bum Nursery Rhyme Friends,Magic Snowman,1
Los Nuevos Rebeldes,Los Pasajes del Phoenix,1
"oh, the joy.",breath of the wild (nature),1
Diferente Nivel,Nervios de Acero,1
Carlos Nóbrega,The Art of Let Go,1
Milko Kalaydzhiev,Gotina si,1
Israel Mosehla,Gods Sovereignty (Live),1
Billah,Hot Pot Tapes,1
Just Se Vitun Virolainen,Tasapainoo Freestyle,1
Paul Schreiner und sein Akkordeon,Die schönsten Volkslieder,1
Mihaela Fileva,Има ли начин?,1
Vusi And The Mighty Singers,Emmanuel,1
Dinner Jazz Collective,Breathtaking Ambiance for Hip Bars,1
Milo Bank$,Cause & Effect,1
Rebel Riot,Destructive Chaos,1
Dinner Jazz Collective,High Class Music for WFH - Piano,1
TWICE,I CAN'T STOP ME (English Version),1
Jake Paul,Park South Freestyle,1
Shaman,The Perfect Storm,1
Sounds of Nature Noise,"! \" Crackle \" !",1
Patrick Doyle,Harry in Winter,1
The Teskey Brothers,Dreaming Of A Christmas With You / Highway Home For Christmas,1
blackwinterwells,i always lose :/,2
Spa Music Hour,1 Hour of Calming Zen Soundscape,1
Nfasis,Sensual,1
DiMO (BG),Lavender / I Want Peace,1
Sonya Nemska,Онези думи,1
Karma,Užsimerksiu,1
Chaina,Vasara Liek Man,1
Tatyana,Tvoya ot A do Ya,1
Konstantin Kuchev,Lale,1
Johann Sebastian Bach,Bach For The Brain,1
R3HAB,Family Values (with Nina Nesbitt) [Jonasu Remix],1
Ludwig van Beethoven,Beethoven: Symphony No. 7 & Piano Concerto No. 4,1
The Vamps,"Cherry Blossom (Extended, Pt. 1)",2
Antonio Vivaldi,Vivaldi Winter Nights,1
The Wonder Years,Out On My Feet / Brakeless,1
Trent Reznor and Atticus Ross,Mank (Original Musical Score),1
Los Nuevos Rebeldes,En Vivo,1
Sounds of Nature Noise,20 Kick Back To Nature,1
Lofi Hip-Hop Beats,Chill Cow Lofi Hip Hop Style,1
Joseph Beg,Traveling in Binaural,1
Celldweller,Demo Vault,1
ChillHop Cafe,Lofi Hip Hop,1
Hilda Kazasyan,Homege to Ella Fitzgerald,1
Hunt,Rahu Aeg,1
CLiBo,Keep It 100,1
Lucian Si Adelina,Cantec de Copil,1
The Coco'nuts,No Other Way Out,1
Hans Zimmer,Hans Zimmer - Film Scores,1
Edwin Luna y La Trakalosa de Monterrey,Saludos a Mi Ex,1
DC Young Fly,Fly & Fetty,1
Lea Salonga,Live in Concert with the Sydney Symphony Orchestra,1
Nicky Romero,Only For You (Remixes),1
Franz Liszt,Liszt Imagination: Mephisto Walzer on String,1
London Grammar,Californian Soil (Maya Jane Coles Remix),1
Carpenter Brut,Fab Tool,1
AK,No Way,1
Yuri,Quanto Tempo,1
THE BOYZ,THE BOYZ Special Single 'Christmassy!',1
GRAY,Покорить звезду,1
Puzzle,Cosa mi manca?,1
Roosevelt,Strangers,1
Fuego,Princesa (Remix),1
maxime.,‎cerulean,1
Savagekid,Amnesia,1
Mihaela Marinova,Edin Sreshtu Drug,1
El Joker,Fora2 Salonat,1
Abel Zero,I Feel U,1
Jay Lelo,Come My Way,1
Mellow,20:55,1
Justicious,Model X,1
Janis Misins,Vina,1
Kodin Hill,Rain,1
Līvi,Dzelzsgriezējs (Mart Inc. Remix),1
ILLENIUM,Paper Thin (Headhunterz Remix),1
Pyotr Ilyich Tchaikovsky,Moon Love. A Collection of Tchaikovsky Themes,1
takayan,Bad example,1
Alfredo Olivas,Yo Todo Lo Doy,1
Little Baby Bum Nursery Rhyme Friends,Trains Song 1-10,1
Loretta Lynn,"Coal Miner's Daughter (Live On The Ed Sullivan Show, May 30, 1971)",1
Mother Goose Club,A Mother Goose Club Christmas,1
Pierry,Papapa,1
Ахат,Ахат Live,1
I Wear* Experiment,Crickets Empire II,1
Abuzaid,Break,1
Tuuli Velling,Armastus Eesti Moodi,1
BiBi,Unde Ai Fost Pana Acum?,1
Ben Miller,Day Dreamin',1
Raimonds Pauls,"Tev, mana labā",1
Scorpiioh,Vendetta,1
Lapkričio Dvidešimtosios Orkestras,"Paveikslas, Tapytas Aliejiniais Dažais",1
Dina El Wedidi,El Haram,1
Gaia,Avant Garde,1
Amir Ve Ben,זמן,1
Jāzeps Vītols,Vitols: Dramatic Overture / Fantasie / Spiriditis / 'Autumn Song',1
El Nino,Pofta Buna,1
The Rolling Stones,Turning Blue & Lonesome,1
Ludwig van Beethoven,Beethoven at Christmas,1
Ludwig van Beethoven,Beethoven: Chamber Works,1
Armin van Buuren,ASOT 992 - A State Of Trance Episode 992 (Including A State Of Trance Classics - Mix 017: Solarstone),1
Struggle Jennings,Cry for Help,1
Phlocalyst,Pinot Noir,1
KT Tunstall,Drastic Fantastic (Ultimate Edition),1
Shankar-Ehsaan-Loy,Its My Life,1
Suzy,START-UP (Original Television Soundtrack) Pt. 14,1
Sleep Music,Meditate! Volume 3,1
Valentina Lisitsa,Beethoven 32 Sonatas Vol. IV,1
SUSU,MONEY,1
Essam Saasa,3arka B Ola,1
Kassar,3ala Kafy,1
Zac,All These Things,1
Elgos,1000,1
Dragi Spasovski,Beyond the Mountain,1
Alexandra Ungureanu,Iarna Mea,1
Izithunywa Zohlanga,Iingqondi Zenkcubeko,1
Matara,Movements,1
MishMash,ДА ДА ДА,1
Arctic Monkeys,Live at the Royal Albert Hall,1
Blxst,No Love Lost (Deluxe),1
Beach Bunny,Good Girls (Don’t Get Used),1
Little Symphony,Bella Coola,1
Bazanji,"Fed Up, Pt. 3",1
